channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
EvanFinity,1490000,2025-11-15,104624,US,https://www.youtube.com/channel/UCrojdLHZiRQPWCv6uVyJU6g,UCrojdLHZiRQPWCv6uVyJU6g
VirtualThreads - 3D Mockup Generator ,16700,2025-11-17,177,,https://www.youtube.com/channel/UCXbcT8CAizrH_VvrkDhAKvg,UCXbcT8CAizrH_VvrkDhAKvg
Two Star,532000,2025-10-15,33643,US,https://www.youtube.com/channel/UC0szxwii-u4CZkJIt2iu4_A,UC0szxwii-u4CZkJIt2iu4_A
Fireship,4050000,2025-11-14,520990,US,https://www.youtube.com/channel/UCsBjURrPoezykLs9EqgamOA,UCsBjURrPoezykLs9EqgamOA
Polygonflow Dash,16700,2025-10-31,1447,SE,https://www.youtube.com/channel/UCTJIYiH-YdymxJ9nrxkHprQ,UCTJIYiH-YdymxJ9nrxkHprQ
NEXA AI UNIT,33400,2025-11-13,9861,TH,https://www.youtube.com/channel/UChPLEoLU1CSho9Ee2FlvesQ,UChPLEoLU1CSho9Ee2FlvesQ
Blender Guru,3380000,2025-09-24,87812,US,https://www.youtube.com/channel/UCOKHwx1VCdgnxwbjyb9Iu1g,UCOKHwx1VCdgnxwbjyb9Iu1g
Wizard of Graphics,7090,2024-07-04,222,IN,https://www.youtube.com/channel/UCEbcGxwb6TMuXzlDZ8dzrAw,UCEbcGxwb6TMuXzlDZ8dzrAw
ArTech,21300,2025-09-20,561,KR,https://www.youtube.com/channel/UCYMG6ButVUpNPl1u8bF-YvQ,UCYMG6ButVUpNPl1u8bF-YvQ
Couple Talk Tech,10900,2025-11-15,55,NG,https://www.youtube.com/channel/UCPLR5vTuuABKCa6l3DdcHWw,UCPLR5vTuuABKCa6l3DdcHWw
San Francisco Symphony,38500,2025-09-30,1988,,https://www.youtube.com/channel/UC0wRztEPtQWDXUybBpYRpaA,UC0wRztEPtQWDXUybBpYRpaA
투이컨설팅-투이톡,17200,2025-11-17,17,KR,https://www.youtube.com/channel/UCNOcyPHY9cMDE1f05yvvH7g,UCNOcyPHY9cMDE1f05yvvH7g
Maria Tokar,24300,2025-11-17,650,GB,https://www.youtube.com/channel/UCTwKoFLLMymqtLSWK0B4tRw,UCTwKoFLLMymqtLSWK0B4tRw
Noxx Art,37700,2024-07-18,4511,DE,https://www.youtube.com/channel/UC4cmzdFjwVhu9tptblw2Myw,UC4cmzdFjwVhu9tptblw2Myw
XUYU Design Tutorials,38800,2024-05-04,1896,US,https://www.youtube.com/channel/UCGTVXvOaLUH2hWVa62YLnLw,UCGTVXvOaLUH2hWVa62YLnLw
BSP Studios,19400,2025-06-16,4171,DE,https://www.youtube.com/channel/UCXhpMnpWih-Vgpbiiqt8pvQ,UCXhpMnpWih-Vgpbiiqt8pvQ
페이퍼로지,260000,2025-11-12,5147,KR,https://www.youtube.com/channel/UCowbfOj8HKvTeL6KGIt2waw,UCowbfOj8HKvTeL6KGIt2waw
Blender 3D Architect,5600,2025-11-13,1220,US,https://www.youtube.com/channel/UC2wnD4LJKwbsK48FKJ7TX3A,UC2wnD4LJKwbsK48FKJ7TX3A
Zertox,68100,2025-10-21,11019,GB,https://www.youtube.com/channel/UCWndIwXrmg72Vk5iSOjkzrQ,UCWndIwXrmg72Vk5iSOjkzrQ
HitPaw Korea,36900,2025-11-17,1972,KR,https://www.youtube.com/channel/UC9PxfKSNVPdLyOjnDPZUl8A,UC9PxfKSNVPdLyOjnDPZUl8A
한국화가 김현정 _ Artist Kim HyunJung,8590,2025-11-14,2985,KR,https://www.youtube.com/channel/UC5PYWMLEbCu7_qg8AX9Uv6A,UC5PYWMLEbCu7_qg8AX9Uv6A
주태백이TV JTBETV,1910000,2025-11-18,52,,https://www.youtube.com/channel/UCBQpl6Fc51HlG6Ik0RZjVPg,UCBQpl6Fc51HlG6Ik0RZjVPg
Art ClasShoo 클라슈,82200,2025-11-14,6717,KR,https://www.youtube.com/channel/UCAoAxNzvp45jBUwQiHqhJcg,UCAoAxNzvp45jBUwQiHqhJcg
이인서,8000,2025-11-14,120,KR,https://www.youtube.com/channel/UCeWWxqWfFmdpGmVlR1Uc5bQ,UCeWWxqWfFmdpGmVlR1Uc5bQ
Marshmello,58200000,2025-11-03,179757,US,https://www.youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ,UCEdvpU2pFRCVqU6yIPyTpMQ
Nice Tower,334000,2025-11-17,11566,US,https://www.youtube.com/channel/UCK_0AfnQY3I_wUsF24Ik_3w,UCK_0AfnQY3I_wUsF24Ik_3w
