channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id
인천중구TV_방송중구,12700,2025-11-12,162,KR,https://www.youtube.com/channel/UCRKeWAByyQRyhOmKyvE2xag,UCRKeWAByyQRyhOmKyvE2xag
Games Of Vaibhav,449000,2025-07-27,194652,IN,https://www.youtube.com/channel/UCSh-zF-LcAHiGUITBtl7c2Q,UCSh-zF-LcAHiGUITBtl7c2Q
홍아트 클라쓰,13100,2025-11-12,454,KR,https://www.youtube.com/channel/UCXQ5vNnV6DK03fV8Af4kjwQ,UCXQ5vNnV6DK03fV8Af4kjwQ
3DRedBox,197000,,,HU,https://www.youtube.com/channel/UCu5G6hdS8u7X3eAX0gKiszg,UCu5G6hdS8u7X3eAX0gKiszg
금박찍는요망 - GLEAF,97100,2025-10-21,503,KR,https://www.youtube.com/channel/UC1cHDDAtPELWjU2bWlm8q9A,UC1cHDDAtPELWjU2bWlm8q9A
나도코딩,401000,2025-09-30,100453,KR,https://www.youtube.com/channel/UC7iAOLiALt2rtMVAWWl4pnw,UC7iAOLiALt2rtMVAWWl4pnw
또세상,172000,2025-11-17,6911,KR,https://www.youtube.com/channel/UC_5WnggYxqW7VX21JYcG_5A,UC_5WnggYxqW7VX21JYcG_5A
WONILMAX : 3D Studio,10700,2025-05-26,43,KR,https://www.youtube.com/channel/UC8D1Adn2W5CUdOALudKqbHA,UC8D1Adn2W5CUdOALudKqbHA
VEIN,17700,2025-10-03,26215,CA,https://www.youtube.com/channel/UCA3wa_YroX3PP3vSjZE4zEg,UCA3wa_YroX3PP3vSjZE4zEg
Alan Walker - Topic,39900,,,,https://www.youtube.com/channel/UCaXJEi-wOOVe2eZZHzyz4mQ,UCaXJEi-wOOVe2eZZHzyz4mQ
SF Productions,70800,2025-11-15,24613,US,https://www.youtube.com/channel/UC-KUVyGTTloIDDHZ2rpaE5w,UC-KUVyGTTloIDDHZ2rpaE5w
Sam Haft - Topic,22700,2024-02-06,3715,,https://www.youtube.com/channel/UC3bhqGKt7BhK2Vezd2ujbFA,UC3bhqGKt7BhK2Vezd2ujbFA
ㅏㅣ해림 haerim,7780,2024-08-26,6639,KR,https://www.youtube.com/channel/UCsk2ika5xvjjWKuuRBYrBuA,UCsk2ika5xvjjWKuuRBYrBuA
Jonas Brothers - Topic,30900,,,,https://www.youtube.com/channel/UC150BpcojVsQJTYogTkKTZQ,UC150BpcojVsQJTYogTkKTZQ
