channel_name,subscribers,last_video_date,last_video_views,country,url,channel_id,,
Life in 3D,587000,2025/10/31,56372,US,https://www.youtube.com/channel/UC6hUJrqT-f4lfKHQ6_gOw2A,UC6hUJrqT-f4lfKHQ6_gOw2A,,
뚝딱 상식 뚝배기,567000,2025/11/16,111386,KR,https://www.youtube.com/channel/UCAIMfhYpcQ7bI1fRQqQT1Dw,UCAIMfhYpcQ7bI1fRQqQT1Dw,,
ChungKang Animation School,563000,2025/11/14,12834,KR,https://www.youtube.com/channel/UCF5j4YUDyqY_jJRSNfBCfjA,UCF5j4YUDyqY_jJRSNfBCfjA,,
GDC Festival of Gaming,548000,2025/10/23,2349,US,https://www.youtube.com/channel/UC0JB7TSe49lg56u6qH8y_MQ,UC0JB7TSe49lg56u6qH8y_MQ,,
Uncle Jessy,540000,2025/11/16,14403,US,https://www.youtube.com/channel/UC8i8e7likh-EYMq1bZ0ttHw,UC8i8e7likh-EYMq1bZ0ttHw,,
Polygon Runway,525000,2025/11/16,1215,SK,https://www.youtube.com/channel/UCGSJevmBuDyxjLLOBNaYMGA,UCGSJevmBuDyxjLLOBNaYMGA,,
3D Printer Academy,513000,2025/11/12,115872,US,https://www.youtube.com/channel/UC4OPqfX3clJgmb_K72Pu-kA,UC4OPqfX3clJgmb_K72Pu-kA,,
Obaeda Korani,467000,2025/10/13,14286,AE,https://www.youtube.com/channel/UCO67XybFBWeMSw4SLCu2mSQ,UCO67XybFBWeMSw4SLCu2mSQ,,
뭐랭하맨,446000,2025/11/15,813855,KR,https://www.youtube.com/channel/UC6Qi6gcKP9VOHrIcFLtISmQ,UC6Qi6gcKP9VOHrIcFLtISmQ,,
BTS - Topic,444000,,,,https://www.youtube.com/channel/UC9vrvNSL3xcWGSkV86REBSg,UC9vrvNSL3xcWGSkV86REBSg,,
SetupsAI,434000,2025/11/16,19314,US,https://www.youtube.com/channel/UC0xHrJNbxHmFnUP-49WYM-Q,UC0xHrJNbxHmFnUP-49WYM-Q,,
"라이프해커,자청",429000,2025/11/6,17305,,https://www.youtube.com/channel/UCONUFWDbb9Y338NVLGQid3Q,UCONUFWDbb9Y338NVLGQid3Q,,
Thomas Brush,428000,2025/11/14,4056,US,https://www.youtube.com/channel/UCuHVjteDW9tCb8QqMrtGvwQ,UCuHVjteDW9tCb8QqMrtGvwQ,,
경주최씨 충렬공파 39대손,385000,2025/11/14,151614,KR,https://www.youtube.com/channel/UCC3tMVyct58LpmmwH2ydDuw,UCC3tMVyct58LpmmwH2ydDuw,,
KTVU FOX 2 San Francisco,356000,2025/11/17,286,US,https://www.youtube.com/channel/UCVhtkN7-c8mA8GXEoxS4YQw,UCVhtkN7-c8mA8GXEoxS4YQw,,
Ryan King Art,352000,2025/11/16,2037,US,https://www.youtube.com/channel/UCIXjev1_mJ1plJhF9lGarQg,UCIXjev1_mJ1plJhF9lGarQg,,
Devslopes,352000,2025/8/28,6777,US,https://www.youtube.com/channel/UClLXKYEEM8OBBx85DOa6-cg,UClLXKYEEM8OBBx85DOa6-cg,,
이데일리TV,347000,2025/11/17,23,KR,https://www.youtube.com/channel/UC8Sv6O3Ux8ePVqorx8aOBMg,UC8Sv6O3Ux8ePVqorx8aOBMg,,
MD Talk,344000,2025/11/10,1016,IN,https://www.youtube.com/channel/UCzrBR9Zo-bobJFsL9CDjTiQ,UCzrBR9Zo-bobJFsL9CDjTiQ,,
Nice Tower,333000,2025/11/13,293,US,https://www.youtube.com/channel/UCK_0AfnQY3I_wUsF24Ik_3w,UCK_0AfnQY3I_wUsF24Ik_3w,,
InspirationTuts,329000,2025/11/13,3867,US,https://www.youtube.com/channel/UCDdv3C21EFv7MxBMu70OExw,UCDdv3C21EFv7MxBMu70OExw,,
Paul Priestley Art,320000,2025/5/23,5482,GB,https://www.youtube.com/channel/UCMyMtFsqCf0K3Boa1Ig0ApA,UCMyMtFsqCf0K3Boa1Ig0ApA,,
