channel_name,subscribers,last_video_date,last_video_views,email,country,url,channel_id
Ask Gamedev,214000,,,,CA,https://www.youtube.com/channel/UCd_lJ4zSp9wZDNyeKCWUstg,UCd_lJ4zSp9wZDNyeKCWUstg
Devslopes,352000,2025-08-28,7058,,US,https://www.youtube.com/channel/UClLXKYEEM8OBBx85DOa6-cg,UClLXKYEEM8OBBx85DOa6-cg
David Wehle,193000,2025-11-01,4563,,US,https://www.youtube.com/channel/UCKP-9R75QFQX-5Au3HyfjzA,UCKP-9R75QFQX-5Au3HyfjzA
Useless Game Dev,47500,2025-02-23,14116,,,https://www.youtube.com/channel/UCMX1A8WPVQtOTZmanT8YseA,UCMX1A8WPVQtOTZmanT8YseA
Buvesa Game Development,20500,2025-11-08,169,,BE,https://www.youtube.com/channel/UCQaeCs2hL2I7EK88fOZhWBw,UCQaeCs2hL2I7EK88fOZhWBw
Lincoln Margison - Game Development,11000,2025-08-13,3322,,,https://www.youtube.com/channel/UCEXsXkhV_ZXh19se-zof6Ug,UCEXsXkhV_ZXh19se-zof6Ug
Vedinad,232000,2025-09-21,4060001,,NO,https://www.youtube.com/channel/UCm660vO2lLqC3DJfL_pjDnw,UCm660vO2lLqC3DJfL_pjDnw
Blackthornprod,606000,2025-11-14,179984,,FR,https://www.youtube.com/channel/UC9Z1XWw1kmnvOOFsj6Bzy2g,UC9Z1XWw1kmnvOOFsj6Bzy2g
GDQuest,307000,2022-06-08,128626,,FR,https://www.youtube.com/channel/UCxboW7x0jZqFdvMdCFKTMsQ,UCxboW7x0jZqFdvMdCFKTMsQ
Games Of Vaibhav,450000,2025-07-27,197113,,IN,https://www.youtube.com/channel/UCSh-zF-LcAHiGUITBtl7c2Q,UCSh-zF-LcAHiGUITBtl7c2Q
Andrew Chambers,13200,2025-10-12,45524,,CA,https://www.youtube.com/channel/UCozGpsO6GW319gEtMBM3USg,UCozGpsO6GW319gEtMBM3USg
England Rugby Game Development,13200,2025-10-10,59,,GB,https://www.youtube.com/channel/UCZ9bbrN-mWFQYsAR0NKIi8Q,UCZ9bbrN-mWFQYsAR0NKIi8Q
Isto Inc.,171000,2025-11-18,20941,,CA,https://www.youtube.com/channel/UCgpGbh7d0X3-RBVYC4MQEEw,UCgpGbh7d0X3-RBVYC4MQEEw
Game Maker's Toolkit,1690000,2025-11-05,221310,,GB,https://www.youtube.com/channel/UCqJ-Xo29CKyLTjn6z2XwYAw,UCqJ-Xo29CKyLTjn6z2XwYAw
Charger Games,102000,2024-11-20,3522,,IN,https://www.youtube.com/channel/UChvLQbvpw2pfODgOmdS4ZSQ,UChvLQbvpw2pfODgOmdS4ZSQ
Game Dev Guide,119000,2025-09-06,36591,,GB,https://www.youtube.com/channel/UCR35rzd4LLomtQout93gi0w,UCR35rzd4LLomtQout93gi0w
GDC Festival of Gaming,548000,2025-11-20,3860,,US,https://www.youtube.com/channel/UC0JB7TSe49lg56u6qH8y_MQ,UC0JB7TSe49lg56u6qH8y_MQ
Game Development Center,26900,2021-09-19,25309,,NL,https://www.youtube.com/channel/UClseGZiVmeHamsjYmpbiAmQ,UClseGZiVmeHamsjYmpbiAmQ
DevDuck,176000,2025-10-25,10257,,US,https://www.youtube.com/channel/UCKCTmact-90hXpV2ns8GSsA,UCKCTmact-90hXpV2ns8GSsA
Thomas Brush,428000,2025-11-21,484,,US,https://www.youtube.com/channel/UCuHVjteDW9tCb8QqMrtGvwQ,UCuHVjteDW9tCb8QqMrtGvwQ
GameDev.tv,55300,2025-10-29,990,,GB,https://www.youtube.com/channel/UC2CRYvS0FWRkTpCU3l4j8Mg,UC2CRYvS0FWRkTpCU3l4j8Mg
SonderingEmily,72900,2025-11-15,365,,US,https://www.youtube.com/channel/UCtyrZ2RsGloiJBiK8lFLIvg,UCtyrZ2RsGloiJBiK8lFLIvg
Inbound Shovel,166000,2025-11-16,900,,US,https://www.youtube.com/channel/UCdYwjLVP-98bptdlQFO_5zQ,UCdYwjLVP-98bptdlQFO_5zQ
Game Development Tutorials,6400,2016-02-14,10221,,IN,https://www.youtube.com/channel/UCmFvgExKRTn3BN4NiVbQE6g,UCmFvgExKRTn3BN4NiVbQE6g
Juniper Dev,263000,2025-11-12,57305,,US,https://www.youtube.com/channel/UChzRJQ-MbpcIxFT5YLW1R9w,UChzRJQ-MbpcIxFT5YLW1R9w
